clientId,nodes,cacheSize,isPartionAware,cacheIsPartioned,isPerstistent,cpuCores,throughput,operations,reads,total_time_reads,avg_time_reads,writes,total_time_writes,avg_time_writes
1,2,512,false,false,true,1,46939,1408187,1196827,450765,0,211360,146194,0
2,2,512,false,false,true,1,46997,1409914,1198535,452369,0,211379,144459,0
1,2,2048,true,true,true,1,31001,930057,790270,500887,0.0,139787,97063,0.0
2,2,2048,true,true,true,1,30615,918462,781080,502738,0.0,137382,95139,0.0
1,2,512,true,false,false,1,49362,1480881,1258670,448606,0.0,222211,148310,0.0
2,2,512,true,false,false,1,51232,1536968,1306208,443834,0.0,230760,153222,0.0
1,2,2048,false,true,false,1,30401,912059,775038,501618,0.6472172977324983,137021,96151,0.7017245531706818
2,2,2048,false,true,false,1,30107,903230,767404,501701,0.6537638584109543,135826,95961,0.7064994919971139
1,2,2048,false,false,true,2,51016,1530492,1301163,457891,0.35190902292794984,229329,138765,0.6050913752730793
2,2,2048,false,false,true,2,54955,1648671,1402168,453565,0.32347407728603134,246503,143144,0.5806988150245636
1,2,512,true,true,true,2,31667,950027,807027,500246,0.619862780303509,143000,97642,0.6828111888111889
2,2,512,true,true,true,2,31649,949488,806797,501665,0.6217982962256925,142691,96302,0.6748989074293403
2,2,2048,true,false,false,2,54971,1649141,1401490,454090,0.32400516593054535,247651,142689,0.5761696904111028
1,2,2048,true,false,false,2,49864,1495952,1271198,458869,0.3609736642128134,224754,137618,0.6123050090320973
1,2,512,false,true,false,2,34525,1035782,880343,501960,0.5701868476264366,155439,95622,0.6151737980815626
2,2,512,false,true,false,2,34980,1049422,891559,500253,0.5610991532809382,157863,97348,0.6166612822510658
2,6,512,true,false,true,2,809,24288,20664,508226,24.594754161827332,3624,91543,25.26020971302428
6,6,512,true,false,true,2,809,24291,20657,507971,24.59074405770441,3634,91845,25.273802971931755
5,6,512,true,false,true,2,810,24306,20678,508161,24.57495889351001,3628,91606,25.249724366041896
1,6,512,true,false,true,2,810,24309,20561,505129,24.567336219055495,3748,94642,25.251334044823906
3,6,512,true,false,true,2,810,24301,20618,506757,24.578378116209137,3683,93014,25.254955199565572
4,6,512,true,false,true,2,809,24299,20718,509387,24.58668790423786,3581,90397,25.24350740016755
5,6,2048,false,true,true,2,796,23901,20359,510802,25.08973918168869,3542,88979,25.12111801242236
2,6,2048,false,true,true,2,796,23903,20281,508697,25.08244169419654,3622,91028,25.131971286581997
3,6,2048,false,true,true,2,796,23902,20295,509189,25.08938162108894,3607,90586,25.1139451067369
6,6,2048,false,true,true,2,796,23902,20214,506916,25.077471059661622,3688,92833,25.171637744034708
1,6,2048,false,true,true,2,796,23902,20291,508969,25.083485289044404,3611,90784,25.140958183328717
4,6,2048,false,true,true,2,796,23897,20407,512053,25.092027245553,3490,87720,25.134670487106018
2,6,512,false,false,false,2,807,24236,20481,504651,24.639958986377618,3755,95117,25.33075898801598
1,6,512,false,false,false,2,807,24238,20599,507657,24.644740035924073,3639,92111,25.31217367408629
5,6,512,false,false,false,2,807,24234,20521,505695,24.64280493153355,3713,94038,25.32669000807972
3,6,512,false,false,false,2,807,24229,20565,506975,24.65232190615123,3664,92786,25.32368995633188
6,6,512,false,false,false,2,807,24229,20546,506404,24.647327947045653,3683,93332,25.341297855009504
4,6,512,false,false,false,2,807,24236,20675,509591,24.64769044740024,3561,90182,25.324908733501825
1,6,512,false,false,false,2,810,24322,20717,508898,24.564270888642177,3605,90877,25.20859916782247
2,6,512,false,false,false,2,810,24308,20753,510032,24.576302221365587,3555,89757,25.248101265822786
6,6,512,false,false,false,2,810,24320,20666,507652,24.56459885802768,3654,92113,25.208812260536398
3,6,512,false,false,false,2,810,24323,20671,507656,24.558850563591506,3652,92087,25.21549835706462
5,6,512,false,false,false,2,810,24308,20751,510005,24.577369765312515,3557,89798,25.24543154343548
4,6,512,false,false,false,2,810,24329,20664,507311,24.550474254742547,3665,92500,25.238744884038198
3,6,2048,true,true,false,2,806,24183,20517,508736,24.795827850075547,3666,90997,24.821876704855427
5,6,2048,true,true,false,2,806,24181,20506,508524,24.798790597873793,3675,91196,24.815238095238094
1,6,2048,true,true,false,2,805,24180,20546,509501,24.798062883286285,3634,90183,24.81645569620253
4,6,2048,true,true,false,2,805,24180,20513,508630,24.79549553941403,3667,91140,24.85410417234797
2,6,2048,true,true,false,2,806,24183,20599,510789,24.796786251759794,3584,88916,24.809151785714285
6,6,2048,true,true,false,2,806,24183,20526,509013,24.79845074539608,3657,90717,24.806398687448727
1,2,2048,true,true,false,2,803,7230,6130,152458,24.87079934747145,1100,27440,24.945454545454545
2,2,2048,true,true,false,2,803,7230,6114,152033,24.866372260386,1116,27841,24.947132616487455