operations,nodes,iteration,time,throughput,puts
100000,10,1,139.757,14310,50028
100000,10,2,114.88,17409,49916
100000,10,3,88.497,22599,49942
100000,10,4,118.1,16934,50029
100000,10,5,113.011,17697,49799
100000,10,6,104.781,19087,49911
100000,10,7,101.99,19609,49932
100000,10,8,91.02,21973,50136
100000,10,9,82.304,24300,50228
100000,10,10,101.147,19773,49893
100000,10,11,73.84,27085,50183
100000,10,12,76.665,26087,50012
100000,10,13,73.894,27065,50113
100000,10,14,73.8,27100,50034
100000,10,15,76.432,26167,49966
100000,10,16,74.839,26724,50277
100000,10,17,95.569,20927,49913
100000,10,18,74.631,26798,49728
100000,10,19,71.836,27841,50008
100000,10,20,72.818,27465,50291
100000,10,21,83.426,23973,49955
100000,10,22,75.126,26621,50151
100000,10,23,82.983,24101,50099
100000,10,24,73.85,27081,49725
100000,10,25,76.041,26301,49901
100000,10,26,75.197,26596,50104
100000,10,27,74.387,26886,49820
100000,10,28,73.391,27251,49833
100000,10,29,73.036,27383,50264
100000,10,30,71.989,27782,50181